stage_event_id,application_id,stage_code,stage_sequence_number,stage_entry_date,stage_exit_date,exit_reason,updated_at,extracted_at
STG-00039835,APP-0018895,interview,4,2024-08-30,2024-09-06,rejected,2024-09-06T09:25:48Z,2026-05-31T23:59:59Z
STG-00039836,APP-0018896,review,1,2024-08-14,2024-08-20,rejected,2024-08-20T10:06:30Z,2026-05-31T23:59:59Z
STG-00039837,APP-0018897,review,1,2024-08-14,2024-08-15,,2024-08-15T18:35:28Z,2026-05-31T23:59:59Z
STG-00039838,APP-0018897,screen,2,2024-08-15,2024-08-21,,2024-08-21T18:20:17Z,2026-05-31T23:59:59Z
STG-00039839,APP-0018897,assessment,3,2024-08-21,2024-08-23,rejected,2024-08-23T17:19:51Z,2026-05-31T23:59:59Z
STG-00039840,APP-0018898,review,1,2024-08-14,2024-08-20,,2024-08-20T11:33:40Z,2026-05-31T23:59:59Z
STG-00039841,APP-0018898,screen,2,2024-08-20,2024-08-24,,2024-08-24T11:50:26Z,2026-05-31T23:59:59Z
STG-00039842,APP-0018898,assessment,3,2024-08-24,2024-08-28,,2024-08-28T13:54:00Z,2026-05-31T23:59:59Z
STG-00039843,APP-0018898,interview,4,2024-08-28,2024-09-09,,2024-09-09T19:42:38Z,2026-05-31T23:59:59Z
STG-00039844,APP-0018898,offer,5,2024-09-09,2024-09-10,,2024-09-10T18:26:21Z,2026-05-31T23:59:59Z
STG-00039845,APP-0018899,review,1,2024-08-14,2024-08-18,rejected,2024-08-18T14:39:23Z,2026-05-31T23:59:59Z
STG-00039846,APP-0018900,review,1,2024-08-14,2024-08-20,,2024-08-20T19:37:05Z,2026-05-31T23:59:59Z
STG-00039847,APP-0018900,screen,2,2024-08-20,2024-08-29,,2024-08-29T11:20:23Z,2026-05-31T23:59:59Z
STG-00039848,APP-0018900,assessment,3,2024-08-29,2024-09-06,,2024-09-06T08:43:18Z,2026-05-31T23:59:59Z
STG-00039849,APP-0018900,interview,4,2024-09-06,2024-09-09,,2024-09-09T16:04:00Z,2026-05-31T23:59:59Z
STG-00039850,APP-0018900,offer,5,2024-09-09,2024-09-15,,2024-09-15T15:07:01Z,2026-05-31T23:59:59Z
STG-00039851,APP-0018901,review,1,2024-08-14,2024-08-17,rejected,2024-08-17T14:35:47Z,2026-05-31T23:59:59Z
STG-00039852,APP-0018902,review,1,2024-08-14,2024-08-16,,2024-08-16T10:00:25Z,2026-05-31T23:59:59Z
STG-00039853,APP-0018902,screen,2,2024-08-16,2024-08-29,withdrawn,2024-08-29T16:16:47Z,2026-05-31T23:59:59Z
STG-00039854,APP-0018903,review,1,2024-08-14,2024-08-16,rejected,2024-08-16T09:38:20Z,2026-05-31T23:59:59Z
STG-00039855,APP-0018904,review,1,2024-08-14,2024-08-18,withdrawn,2024-08-18T11:13:30Z,2026-05-31T23:59:59Z
STG-00039856,APP-0018905,review,1,2024-08-14,2024-08-16,rejected,2024-08-16T09:54:40Z,2026-05-31T23:59:59Z
STG-00039857,APP-0018906,review,1,2024-08-14,2024-08-18,,2024-08-18T08:15:50Z,2026-05-31T23:59:59Z
STG-00039858,APP-0018906,screen,2,2024-08-18,2024-08-23,,2024-08-23T18:33:11Z,2026-05-31T23:59:59Z
STG-00039859,APP-0018906,assessment,3,2024-08-23,2024-08-26,,2024-08-26T12:16:49Z,2026-05-31T23:59:59Z
STG-00039860,APP-0018906,interview,4,2024-08-26,2024-08-30,withdrawn,2024-08-30T14:41:26Z,2026-05-31T23:59:59Z
STG-00039861,APP-0018907,review,1,2024-08-14,2024-08-16,,2024-08-16T15:41:52Z,2026-05-31T23:59:59Z
STG-00039862,APP-0018907,screen,2,2024-08-16,2024-08-22,withdrawn,2024-08-22T09:35:54Z,2026-05-31T23:59:59Z
STG-00039863,APP-0018908,review,1,2024-08-14,2024-08-16,,2024-08-16T13:12:12Z,2026-05-31T23:59:59Z
STG-00039864,APP-0018908,screen,2,2024-08-16,2024-08-23,,2024-08-23T11:28:15Z,2026-05-31T23:59:59Z
STG-00039865,APP-0018908,assessment,3,2024-08-23,2024-08-31,,2024-08-31T12:59:05Z,2026-05-31T23:59:59Z
STG-00039866,APP-0018908,interview,4,2024-08-31,2024-09-03,rejected,2024-09-03T15:34:59Z,2026-05-31T23:59:59Z
STG-00039867,APP-0018909,review,1,2024-08-14,2024-08-18,rejected,2024-08-18T12:31:49Z,2026-05-31T23:59:59Z
STG-00039868,APP-0018910,review,1,2024-08-14,2024-08-17,,2024-08-17T12:33:40Z,2026-05-31T23:59:59Z
STG-00039869,APP-0018910,screen,2,2024-08-17,2024-08-19,,2024-08-19T08:17:54Z,2026-05-31T23:59:59Z
STG-00039870,APP-0018910,assessment,3,2024-08-19,2024-08-24,rejected,2024-08-24T11:20:55Z,2026-05-31T23:59:59Z
STG-00039871,APP-0018911,review,1,2024-08-14,2024-08-16,,2024-08-16T14:26:09Z,2026-05-31T23:59:59Z
STG-00039872,APP-0018911,screen,2,2024-08-16,2024-08-24,,2024-08-24T12:04:11Z,2026-05-31T23:59:59Z
STG-00039873,APP-0018911,assessment,3,2024-08-24,2024-09-02,,2024-09-02T16:29:33Z,2026-05-31T23:59:59Z
STG-00039874,APP-0018911,interview,4,2024-09-02,2024-09-10,,2024-09-10T19:46:22Z,2026-05-31T23:59:59Z
STG-00039875,APP-0018911,offer,5,2024-09-10,2024-09-16,,2024-09-16T17:32:08Z,2026-05-31T23:59:59Z
STG-00039876,APP-0018912,review,1,2024-08-14,2024-08-19,,2024-08-19T12:14:26Z,2026-05-31T23:59:59Z
STG-00039877,APP-0018912,screen,2,2024-08-19,2024-08-20,,2024-08-20T16:10:28Z,2026-05-31T23:59:59Z
STG-00039878,APP-0018912,assessment,3,2024-08-20,2024-08-27,rejected,2024-08-27T12:46:29Z,2026-05-31T23:59:59Z
STG-00039879,APP-0018913,review,1,2024-08-14,2024-08-23,withdrawn,2024-08-23T13:02:43Z,2026-05-31T23:59:59Z
STG-00039880,APP-0018914,review,1,2024-08-14,2024-08-20,rejected,2024-08-20T08:07:52Z,2026-05-31T23:59:59Z
STG-00039881,APP-0018915,review,1,2024-08-14,2024-08-17,rejected,2024-08-17T18:02:54Z,2026-05-31T23:59:59Z
STG-00039882,APP-0018916,review,1,2024-08-14,2024-08-19,,2024-08-19T13:35:48Z,2026-05-31T23:59:59Z
STG-00039883,APP-0018916,screen,2,2024-08-19,2024-08-25,,2024-08-25T08:57:06Z,2026-05-31T23:59:59Z
STG-00039884,APP-0018916,assessment,3,2024-08-25,2024-08-28,rejected,2024-08-28T11:52:33Z,2026-05-31T23:59:59Z
STG-00039885,APP-0018917,review,1,2024-08-14,2024-08-26,,2024-08-26T19:13:27Z,2026-05-31T23:59:59Z
STG-00039886,APP-0018917,screen,2,2024-08-26,2024-08-29,,2024-08-29T10:39:41Z,2026-05-31T23:59:59Z
STG-00039887,APP-0018917,assessment,3,2024-08-29,2024-09-06,rejected,2024-09-06T16:04:11Z,2026-05-31T23:59:59Z
STG-00039888,APP-0018918,review,1,2024-08-14,2024-08-20,,2024-08-20T12:07:06Z,2026-05-31T23:59:59Z
STG-00039889,APP-0018918,screen,2,2024-08-20,2024-08-21,rejected,2024-08-21T15:19:24Z,2026-05-31T23:59:59Z
STG-00039890,APP-0018919,review,1,2024-08-14,2024-08-19,,2024-08-19T08:16:25Z,2026-05-31T23:59:59Z
STG-00039891,APP-0018919,screen,2,2024-08-19,2024-08-21,,2024-08-21T18:12:31Z,2026-05-31T23:59:59Z
STG-00039892,APP-0018919,assessment,3,2024-08-21,2024-08-23,,2024-08-23T13:23:01Z,2026-05-31T23:59:59Z
STG-00039893,APP-0018919,interview,4,2024-08-23,2024-08-31,rejected,2024-08-31T10:01:07Z,2026-05-31T23:59:59Z
STG-00039894,APP-0018920,review,1,2024-08-14,2024-08-15,rejected,2024-08-15T12:28:48Z,2026-05-31T23:59:59Z
STG-00039895,APP-0018921,review,1,2024-08-14,2024-08-19,,2024-08-19T12:22:46Z,2026-05-31T23:59:59Z
STG-00039896,APP-0018921,screen,2,2024-08-19,2024-09-02,rejected,2024-09-02T17:27:08Z,2026-05-31T23:59:59Z
STG-00039897,APP-0018922,review,1,2024-08-14,2024-08-18,rejected,2024-08-18T16:40:26Z,2026-05-31T23:59:59Z
STG-00039898,APP-0018923,review,1,2024-08-14,2024-08-15,,2024-08-15T13:04:43Z,2026-05-31T23:59:59Z
STG-00039899,APP-0018923,screen,2,2024-08-15,2024-08-19,withdrawn,2024-08-19T13:50:53Z,2026-05-31T23:59:59Z
STG-00039900,APP-0018924,review,1,2024-08-14,2024-08-18,rejected,2024-08-18T09:49:27Z,2026-05-31T23:59:59Z
STG-00039901,APP-0018925,review,1,2024-08-14,2024-08-17,rejected,2024-08-17T13:36:49Z,2026-05-31T23:59:59Z
STG-00039902,APP-0018926,review,1,2024-08-14,2024-08-15,,2024-08-15T08:54:35Z,2026-05-31T23:59:59Z
STG-00039903,APP-0018926,screen,2,2024-08-15,2024-08-20,,2024-08-20T17:52:29Z,2026-05-31T23:59:59Z
STG-00039904,APP-0018926,assessment,3,2024-08-20,2024-08-24,rejected,2024-08-24T10:44:14Z,2026-05-31T23:59:59Z
STG-00039905,APP-0018927,review,1,2024-08-14,2024-08-18,,2024-08-18T16:28:24Z,2026-05-31T23:59:59Z
STG-00039906,APP-0018927,screen,2,2024-08-18,2024-08-21,,2024-08-21T15:52:50Z,2026-05-31T23:59:59Z
STG-00039907,APP-0018927,assessment,3,2024-08-21,2024-08-24,,2024-08-24T15:24:52Z,2026-05-31T23:59:59Z
STG-00039908,APP-0018927,interview,4,2024-08-24,2024-08-28,,2024-08-28T08:24:53Z,2026-05-31T23:59:59Z
STG-00039909,APP-0018927,offer,5,2024-08-28,2024-08-31,,2024-08-31T15:01:23Z,2026-05-31T23:59:59Z
STG-00039910,APP-0018928,review,1,2024-08-14,2024-08-18,,2024-08-18T18:39:34Z,2026-05-31T23:59:59Z
STG-00039911,APP-0018928,screen,2,2024-08-18,2024-08-24,,2024-08-24T16:15:44Z,2026-05-31T23:59:59Z
STG-00039912,APP-0018928,assessment,3,2024-08-24,2024-09-05,,2024-09-05T18:23:06Z,2026-05-31T23:59:59Z
STG-00039913,APP-0018928,interview,4,2024-09-05,2024-09-22,rejected,2024-09-22T19:54:04Z,2026-05-31T23:59:59Z
STG-00039914,APP-0018929,review,1,2024-08-14,2024-08-19,,2024-08-19T19:06:39Z,2026-05-31T23:59:59Z
STG-00039915,APP-0018929,screen,2,2024-08-19,2024-08-23,rejected,2024-08-23T14:07:37Z,2026-05-31T23:59:59Z
STG-00039916,APP-0018930,review,1,2024-08-14,2024-08-19,,2024-08-19T18:21:07Z,2026-05-31T23:59:59Z
STG-00039917,APP-0018930,screen,2,2024-08-19,2024-08-27,,2024-08-27T17:54:13Z,2026-05-31T23:59:59Z
STG-00039918,APP-0018930,assessment,3,2024-08-27,2024-09-01,,2024-09-01T16:25:56Z,2026-05-31T23:59:59Z
STG-00039919,APP-0018930,interview,4,2024-09-01,2024-09-07,rejected,2024-09-07T19:18:26Z,2026-05-31T23:59:59Z
STG-00039920,APP-0018931,review,1,2024-08-14,2024-08-16,,2024-08-16T16:26:13Z,2026-05-31T23:59:59Z
STG-00039921,APP-0018931,screen,2,2024-08-16,2024-08-20,rejected,2024-08-20T16:43:31Z,2026-05-31T23:59:59Z
STG-00039922,APP-0018932,review,1,2024-08-14,2024-08-19,rejected,2024-08-19T15:51:37Z,2026-05-31T23:59:59Z
STG-00039923,APP-0018933,review,1,2024-08-14,2024-08-17,rejected,2024-08-17T14:51:11Z,2026-05-31T23:59:59Z
STG-00039924,APP-0018934,review,1,2024-08-14,2024-08-16,rejected,2024-08-16T08:21:16Z,2026-05-31T23:59:59Z
STG-00039925,APP-0018935,review,1,2024-08-14,2024-08-18,,2024-08-18T08:36:58Z,2026-05-31T23:59:59Z
STG-00039926,APP-0018935,screen,2,2024-08-18,2024-08-22,rejected,2024-08-22T17:39:28Z,2026-05-31T23:59:59Z
STG-00039927,APP-0018936,review,1,2024-08-14,2024-08-18,rejected,2024-08-18T09:11:34Z,2026-05-31T23:59:59Z
STG-00039928,APP-0018937,review,1,2024-08-14,2024-08-19,,2024-08-19T14:06:15Z,2026-05-31T23:59:59Z
STG-00039929,APP-0018937,screen,2,2024-08-19,2024-08-21,,2024-08-21T08:08:33Z,2026-05-31T23:59:59Z
STG-00039930,APP-0018937,assessment,3,2024-08-21,2024-08-22,,2024-08-22T19:38:12Z,2026-05-31T23:59:59Z
STG-00039931,APP-0018937,interview,4,2024-08-22,2024-08-28,rejected,2024-08-28T14:05:38Z,2026-05-31T23:59:59Z
STG-00039932,APP-0018938,review,1,2024-08-14,2024-08-18,,2024-08-18T18:26:16Z,2026-05-31T23:59:59Z
STG-00039933,APP-0018938,screen,2,2024-08-18,2024-08-21,rejected,2024-08-21T12:51:42Z,2026-05-31T23:59:59Z
STG-00039934,APP-0018939,review,1,2024-08-14,2024-08-19,,2024-08-19T11:05:33Z,2026-05-31T23:59:59Z
STG-00039935,APP-0018939,screen,2,2024-08-19,2024-08-23,,2024-08-23T12:59:23Z,2026-05-31T23:59:59Z
STG-00039936,APP-0018939,assessment,3,2024-08-23,2024-08-28,,2024-08-28T13:13:53Z,2026-05-31T23:59:59Z
STG-00039937,APP-0018939,interview,4,2024-08-28,2024-09-10,,2024-09-10T19:39:51Z,2026-05-31T23:59:59Z
STG-00039938,APP-0018939,offer,5,2024-09-10,2024-09-16,,2024-09-16T17:02:14Z,2026-05-31T23:59:59Z
STG-00039939,APP-0018940,review,1,2024-08-14,2024-08-16,rejected,2024-08-16T16:25:36Z,2026-05-31T23:59:59Z
STG-00039940,APP-0018941,review,1,2024-08-14,2024-08-15,withdrawn,2024-08-15T09:02:27Z,2026-05-31T23:59:59Z
STG-00039941,APP-0018942,review,1,2024-08-15,2024-08-28,,2024-08-28T18:01:25Z,2026-05-31T23:59:59Z
STG-00039942,APP-0018942,screen,2,2024-08-28,2024-09-01,,2024-09-01T13:50:07Z,2026-05-31T23:59:59Z
STG-00039943,APP-0018942,assessment,3,2024-09-01,2024-09-05,,2024-09-05T17:36:25Z,2026-05-31T23:59:59Z
STG-00039944,APP-0018942,interview,4,2024-09-05,2024-09-12,rejected,2024-09-12T18:31:22Z,2026-05-31T23:59:59Z
STG-00039945,APP-0018943,review,1,2024-08-15,2024-08-18,,2024-08-18T16:46:36Z,2026-05-31T23:59:59Z
STG-00039946,APP-0018943,screen,2,2024-08-18,2024-08-22,rejected,2024-08-22T15:57:10Z,2026-05-31T23:59:59Z
STG-00039947,APP-0018944,review,1,2024-08-15,2024-08-19,,2024-08-19T10:58:08Z,2026-05-31T23:59:59Z
STG-00039948,APP-0018944,screen,2,2024-08-19,2024-08-21,,2024-08-21T17:58:41Z,2026-05-31T23:59:59Z
STG-00039949,APP-0018944,assessment,3,2024-08-21,2024-08-25,rejected,2024-08-25T08:22:31Z,2026-05-31T23:59:59Z
STG-00039950,APP-0018945,review,1,2024-08-15,2024-08-20,,2024-08-20T09:17:22Z,2026-05-31T23:59:59Z
STG-00039951,APP-0018945,screen,2,2024-08-20,2024-08-29,rejected,2024-08-29T12:05:08Z,2026-05-31T23:59:59Z
STG-00039952,APP-0018946,review,1,2024-08-15,2024-08-30,rejected,2024-08-30T19:53:50Z,2026-05-31T23:59:59Z
STG-00039953,APP-0018947,review,1,2024-08-15,2024-08-20,withdrawn,2024-08-20T16:13:12Z,2026-05-31T23:59:59Z
STG-00039954,APP-0018948,review,1,2024-08-15,2024-08-20,,2024-08-20T11:46:03Z,2026-05-31T23:59:59Z
STG-00039955,APP-0018948,screen,2,2024-08-20,2024-08-23,,2024-08-23T11:18:05Z,2026-05-31T23:59:59Z
STG-00039956,APP-0018948,assessment,3,2024-08-23,2024-09-04,rejected,2024-09-04T09:33:11Z,2026-05-31T23:59:59Z
STG-00039957,APP-0018949,review,1,2024-08-15,2024-08-20,,2024-08-20T16:35:13Z,2026-05-31T23:59:59Z
STG-00039958,APP-0018949,screen,2,2024-08-20,2024-08-24,,2024-08-24T10:52:00Z,2026-05-31T23:59:59Z
STG-00039959,APP-0018949,assessment,3,2024-08-24,2024-08-27,,2024-08-27T09:31:50Z,2026-05-31T23:59:59Z
STG-00039960,APP-0018949,interview,4,2024-08-27,2024-09-11,rejected,2024-09-11T14:55:29Z,2026-05-31T23:59:59Z
STG-00039961,APP-0018950,review,1,2024-08-15,2024-08-18,rejected,2024-08-18T13:53:59Z,2026-05-31T23:59:59Z
STG-00039962,APP-0018951,review,1,2024-08-15,2024-08-21,withdrawn,2024-08-21T19:20:45Z,2026-05-31T23:59:59Z
STG-00039963,APP-0018952,review,1,2024-08-15,2024-08-18,,2024-08-18T19:39:07Z,2026-05-31T23:59:59Z
STG-00039964,APP-0018952,screen,2,2024-08-18,2024-08-26,,2024-08-26T08:06:16Z,2026-05-31T23:59:59Z
STG-00039965,APP-0018952,assessment,3,2024-08-26,2024-09-12,rejected,2024-09-12T12:55:10Z,2026-05-31T23:59:59Z
STG-00039966,APP-0018953,review,1,2024-08-15,2024-08-19,rejected,2024-08-19T15:56:04Z,2026-05-31T23:59:59Z
STG-00039967,APP-0018954,review,1,2024-08-15,2024-08-21,rejected,2024-08-21T14:54:58Z,2026-05-31T23:59:59Z
STG-00039968,APP-0018955,review,1,2024-08-15,2024-08-16,rejected,2024-08-16T10:56:19Z,2026-05-31T23:59:59Z
STG-00039969,APP-0018956,review,1,2024-08-15,2024-08-18,rejected,2024-08-18T18:15:33Z,2026-05-31T23:59:59Z
STG-00039970,APP-0018957,review,1,2024-08-15,2024-08-18,,2024-08-18T09:32:16Z,2026-05-31T23:59:59Z
STG-00039971,APP-0018957,screen,2,2024-08-18,2024-08-25,,2024-08-25T14:40:54Z,2026-05-31T23:59:59Z
STG-00039972,APP-0018957,assessment,3,2024-08-25,2024-09-02,,2024-09-02T18:30:36Z,2026-05-31T23:59:59Z
STG-00039973,APP-0018957,interview,4,2024-09-02,2024-09-11,rejected,2024-09-11T14:14:50Z,2026-05-31T23:59:59Z
STG-00039974,APP-0018958,review,1,2024-08-15,2024-08-20,,2024-08-20T19:42:49Z,2026-05-31T23:59:59Z
STG-00039975,APP-0018958,screen,2,2024-08-20,2024-08-22,rejected,2024-08-22T14:09:51Z,2026-05-31T23:59:59Z
STG-00039976,APP-0018959,review,1,2024-08-15,2024-08-17,,2024-08-17T14:38:13Z,2026-05-31T23:59:59Z
STG-00039977,APP-0018959,screen,2,2024-08-17,2024-08-21,rejected,2024-08-21T16:30:59Z,2026-05-31T23:59:59Z
STG-00039978,APP-0018960,review,1,2024-08-15,2024-08-18,rejected,2024-08-18T10:44:34Z,2026-05-31T23:59:59Z
STG-00039979,APP-0018961,review,1,2024-08-15,2024-08-20,,2024-08-20T11:24:52Z,2026-05-31T23:59:59Z
STG-00039980,APP-0018961,screen,2,2024-08-20,2024-08-23,withdrawn,2024-08-23T11:47:59Z,2026-05-31T23:59:59Z
STG-00039981,APP-0018962,review,1,2024-08-15,2024-08-20,withdrawn,2024-08-20T18:24:57Z,2026-05-31T23:59:59Z
STG-00039982,APP-0018963,review,1,2024-08-15,2024-08-17,rejected,2024-08-17T13:30:43Z,2026-05-31T23:59:59Z
STG-00039983,APP-0018964,review,1,2024-08-15,2024-08-28,withdrawn,2024-08-28T18:49:57Z,2026-05-31T23:59:59Z
STG-00039984,APP-0018965,review,1,2024-08-15,2024-08-21,rejected,2024-08-21T11:56:38Z,2026-05-31T23:59:59Z
STG-00039985,APP-0018966,review,1,2024-08-15,2024-08-18,rejected,2024-08-18T09:19:28Z,2026-05-31T23:59:59Z
STG-00039986,APP-0018967,review,1,2024-08-15,2024-08-19,,2024-08-19T13:10:50Z,2026-05-31T23:59:59Z
STG-00039987,APP-0018967,screen,2,2024-08-19,2024-08-21,,2024-08-21T09:53:16Z,2026-05-31T23:59:59Z
STG-00039988,APP-0018967,assessment,3,2024-08-21,2024-08-28,,2024-08-28T09:57:49Z,2026-05-31T23:59:59Z
STG-00039989,APP-0018967,interview,4,2024-08-28,2024-09-02,,2024-09-02T08:12:59Z,2026-05-31T23:59:59Z
STG-00039990,APP-0018967,offer,5,2024-09-02,2024-09-08,,2024-09-08T08:38:06Z,2026-05-31T23:59:59Z
STG-00039991,APP-0018968,review,1,2024-08-15,2024-08-18,rejected,2024-08-18T09:52:56Z,2026-05-31T23:59:59Z
STG-00039992,APP-0018969,review,1,2024-08-15,2024-08-19,,2024-08-19T11:15:14Z,2026-05-31T23:59:59Z
STG-00039993,APP-0018969,screen,2,2024-08-19,2024-08-26,,2024-08-26T09:56:36Z,2026-05-31T23:59:59Z
STG-00039994,APP-0018969,assessment,3,2024-08-26,2024-08-28,,2024-08-28T14:35:35Z,2026-05-31T23:59:59Z
STG-00039995,APP-0018969,interview,4,2024-08-28,2024-09-06,rejected,2024-09-06T12:26:09Z,2026-05-31T23:59:59Z
STG-00039996,APP-0018970,review,1,2024-08-15,2024-08-18,,2024-08-18T11:16:43Z,2026-05-31T23:59:59Z
STG-00039997,APP-0018970,screen,2,2024-08-18,2024-08-22,,2024-08-22T19:11:09Z,2026-05-31T23:59:59Z
STG-00039998,APP-0018970,assessment,3,2024-08-22,2024-08-29,rejected,2024-08-29T17:58:52Z,2026-05-31T23:59:59Z
STG-00039999,APP-0018971,review,1,2024-08-15,2024-08-18,,2024-08-18T11:40:58Z,2026-05-31T23:59:59Z
STG-00040000,APP-0018971,screen,2,2024-08-18,2024-08-20,,2024-08-20T09:46:26Z,2026-05-31T23:59:59Z
STG-00040001,APP-0018971,assessment,3,2024-08-20,2024-08-27,rejected,2024-08-27T11:49:56Z,2026-05-31T23:59:59Z
STG-00040002,APP-0018972,review,1,2024-08-15,2024-08-17,rejected,2024-08-17T16:20:46Z,2026-05-31T23:59:59Z
STG-00040003,APP-0018973,review,1,2024-08-15,2024-08-21,,2024-08-21T14:12:24Z,2026-05-31T23:59:59Z
STG-00040004,APP-0018973,screen,2,2024-08-21,2024-08-27,,2024-08-27T08:49:47Z,2026-05-31T23:59:59Z
STG-00040005,APP-0018973,assessment,3,2024-08-27,2024-09-01,,2024-09-01T13:40:13Z,2026-05-31T23:59:59Z
STG-00040006,APP-0018973,interview,4,2024-09-01,2024-09-12,,2024-09-12T14:55:03Z,2026-05-31T23:59:59Z
STG-00040007,APP-0018973,offer,5,2024-09-12,2024-09-16,offer_withdrawn,2024-09-16T16:10:57Z,2026-05-31T23:59:59Z
STG-00040008,APP-0018974,review,1,2024-08-15,2024-08-18,,2024-08-18T17:20:00Z,2026-05-31T23:59:59Z
STG-00040009,APP-0018974,screen,2,2024-08-18,2024-08-22,rejected,2024-08-22T11:02:46Z,2026-05-31T23:59:59Z
STG-00040010,APP-0018975,review,1,2024-08-15,2024-08-18,rejected,2024-08-18T11:27:47Z,2026-05-31T23:59:59Z
STG-00040011,APP-0018976,review,1,2024-08-15,2024-08-28,,2024-08-28T17:15:17Z,2026-05-31T23:59:59Z
STG-00040012,APP-0018976,screen,2,2024-08-28,2024-09-02,,2024-09-02T09:14:07Z,2026-05-31T23:59:59Z
STG-00040013,APP-0018976,assessment,3,2024-09-02,2024-09-05,,2024-09-05T15:21:45Z,2026-05-31T23:59:59Z
STG-00040014,APP-0018976,interview,4,2024-09-05,2024-09-14,rejected,2024-09-14T16:19:54Z,2026-05-31T23:59:59Z
STG-00040015,APP-0018977,review,1,2024-08-15,2024-08-19,,2024-08-19T18:44:12Z,2026-05-31T23:59:59Z
STG-00040016,APP-0018977,screen,2,2024-08-19,2024-08-22,,2024-08-22T08:09:42Z,2026-05-31T23:59:59Z
STG-00040017,APP-0018977,assessment,3,2024-08-22,2024-08-31,rejected,2024-08-31T11:31:28Z,2026-05-31T23:59:59Z
STG-00040018,APP-0018978,review,1,2024-08-15,2024-08-18,rejected,2024-08-18T11:23:45Z,2026-05-31T23:59:59Z
STG-00040019,APP-0018979,review,1,2024-08-15,2024-08-18,rejected,2024-08-18T09:39:35Z,2026-05-31T23:59:59Z
STG-00040020,APP-0018980,review,1,2024-08-15,2024-08-18,,2024-08-18T17:17:36Z,2026-05-31T23:59:59Z
STG-00040021,APP-0018980,screen,2,2024-08-18,2024-08-20,,2024-08-20T12:57:10Z,2026-05-31T23:59:59Z
STG-00040022,APP-0018980,assessment,3,2024-08-20,2024-08-26,withdrawn,2024-08-26T09:18:20Z,2026-05-31T23:59:59Z
STG-00040023,APP-0018981,review,1,2024-08-15,2024-08-25,rejected,2024-08-25T12:05:30Z,2026-05-31T23:59:59Z
STG-00040024,APP-0018982,review,1,2024-08-15,2024-08-19,,2024-08-19T09:31:21Z,2026-05-31T23:59:59Z
STG-00040025,APP-0018982,screen,2,2024-08-19,2024-08-21,,2024-08-21T17:59:27Z,2026-05-31T23:59:59Z
STG-00040026,APP-0018982,assessment,3,2024-08-21,2024-08-29,,2024-08-29T16:52:21Z,2026-05-31T23:59:59Z
STG-00040027,APP-0018982,interview,4,2024-08-29,2024-09-04,,2024-09-04T13:02:11Z,2026-05-31T23:59:59Z
STG-00040028,APP-0018982,offer,5,2024-09-04,2024-09-06,,2024-09-06T10:50:42Z,2026-05-31T23:59:59Z
STG-00040029,APP-0018983,review,1,2024-08-15,2024-08-20,rejected,2024-08-20T13:05:24Z,2026-05-31T23:59:59Z
STG-00040030,APP-0018984,review,1,2024-08-15,2024-08-18,,2024-08-18T09:21:53Z,2026-05-31T23:59:59Z
STG-00040031,APP-0018984,screen,2,2024-08-18,2024-08-23,,2024-08-23T14:54:31Z,2026-05-31T23:59:59Z
STG-00040032,APP-0018984,assessment,3,2024-08-23,2024-09-07,withdrawn,2024-09-07T09:06:37Z,2026-05-31T23:59:59Z
STG-00040033,APP-0018985,review,1,2024-08-15,2024-08-19,rejected,2024-08-19T17:14:51Z,2026-05-31T23:59:59Z
STG-00040034,APP-0018986,review,1,2024-08-15,2024-08-16,rejected,2024-08-16T19:24:24Z,2026-05-31T23:59:59Z
STG-00040035,APP-0018987,review,1,2024-08-15,2024-08-19,rejected,2024-08-19T19:35:26Z,2026-05-31T23:59:59Z
STG-00040036,APP-0018988,review,1,2024-08-15,2024-08-17,,2024-08-17T17:01:56Z,2026-05-31T23:59:59Z
STG-00040037,APP-0018988,screen,2,2024-08-17,2024-08-27,,2024-08-27T12:22:42Z,2026-05-31T23:59:59Z
STG-00040038,APP-0018988,assessment,3,2024-08-27,2024-09-01,,2024-09-01T10:00:35Z,2026-05-31T23:59:59Z
STG-00040039,APP-0018988,interview,4,2024-09-01,2024-09-11,rejected,2024-09-11T19:41:09Z,2026-05-31T23:59:59Z
STG-00040040,APP-0018989,review,1,2024-08-15,2024-08-21,,2024-08-21T10:47:18Z,2026-05-31T23:59:59Z
STG-00040041,APP-0018989,screen,2,2024-08-21,2024-08-30,,2024-08-30T11:33:52Z,2026-05-31T23:59:59Z
STG-00040042,APP-0018989,assessment,3,2024-08-30,2024-09-03,rejected,2024-09-03T10:03:06Z,2026-05-31T23:59:59Z
STG-00040043,APP-0018990,review,1,2024-08-15,2024-08-17,,2024-08-17T09:11:40Z,2026-05-31T23:59:59Z
STG-00040044,APP-0018990,screen,2,2024-08-17,2024-08-24,,2024-08-24T09:17:35Z,2026-05-31T23:59:59Z
STG-00040045,APP-0018990,assessment,3,2024-08-24,2024-08-30,,2024-08-30T12:10:33Z,2026-05-31T23:59:59Z
STG-00040046,APP-0018990,interview,4,2024-08-30,2024-09-05,,2024-09-05T19:44:03Z,2026-05-31T23:59:59Z
STG-00040047,APP-0018990,offer,5,2024-09-05,2024-09-09,,2024-09-09T10:57:25Z,2026-05-31T23:59:59Z
STG-00040048,APP-0018991,review,1,2024-08-15,2024-08-20,,2024-08-20T17:24:20Z,2026-05-31T23:59:59Z
